	key	question	options
0	HAPPYLIFE_W36	Generally, how would you say things are these days in your life? Would you say that you are	['Very happy', 'Pretty happy', 'Not too happy', 'Refused']
1	ESSENPOLF1A_W36	In general, how important, if at all, is it to you for someone in high political office to be honest and ethical?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
2	ESSENPOLF1B_W36	In general, how important, if at all, is it to you for someone in high political office to be compassionate and empathetic?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
3	ESSENPOLF1C_W36	In general, how important, if at all, is it to you for someone in high political office to be able to work out compromises?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
4	ESSENPOLF1D_W36	In general, how important, if at all, is it to you for someone in high political office to work well under pressure?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
5	ESSENPOLF1E_W36	In general, how important, if at all, is it to you for someone in high political office to be willing to take risks?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
6	ESSENPOLF1F_W36	In general, how important, if at all, is it to you for someone in high political office to stand up for what they believe in, despite political pressure?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
7	ESSENPOLF1G_W36	In general, how important, if at all, is it to you for someone in high political office to be persuasive?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
8	ESSENPOLF1H_W36	In general, how important, if at all, is it to you for someone in high political office to maintain a tone of civility and respect in politics?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
9	ESSENPOLF1I_W36	In general, how important, if at all, is it to you for someone in high political office to serve as a role model for children?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
10	ESSENBIZF2A_W36	In general, how important, if at all, is it to you for someone in a top executive business position to be honest and ethical?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
11	ESSENBIZF2B_W36	In general, how important, if at all, is it to you for someone in a top executive business position to be compassionate and empathetic?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
12	ESSENBIZF2C_W36	In general, how important, if at all, is it to you for someone in a top executive business position to be able to work out compromises?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
13	ESSENBIZF2D_W36	In general, how important, if at all, is it to you for someone in a top executive business position to work well under pressure?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
14	ESSENBIZF2E_W36	In general, how important, if at all, is it to you for someone in a top executive business position to be willing to take risks?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
15	ESSENBIZF2F_W36	In general, how important, if at all, is it to you for someone in a top executive business position to value people from different backgrounds?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
