	Unnamed: 0	key	question	options
0	0	SATLIFEa_W50	Please tell us whether you are satisfied or dissatisfied with your family life.	['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']
1	1	SATLIFEb_W50	Please tell us whether you are satisfied or dissatisfied with your social life.	['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']
2	2	SATLIFEc_W50	Please tell us whether you are satisfied or dissatisfied with your personal financial situation.	['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']
3	3	SATLIFEd_W50	Please tell us whether you are satisfied or dissatisfied with your current job or career.	['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']
4	4	FAMSURV1_W50	At this point in your life, which of the following would be best for you personally?	['Working full-time for pay', 'Working part-time for pay', 'Not working for pay at all', 'Refused']
5	5	FAMSURV2Ma_W50	In general, how important, if at all, is being married in order for a man to live a fulfilling life?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
6	6	FAMSURV2Mb_W50	In general, how important, if at all, is being in a committed romantic relationship in order for a man to live a fulfilling life?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
7	7	FAMSURV2Mc_W50	In general, how important, if at all, is having children in order for a man to live a fulfilling life?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
8	8	FAMSURV2Md_W50	In general, how important, if at all, is having a job or career they enjoy in order for a man to live a fulfilling life?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
9	9	FAMSURV2Me_W50	In general, how important, if at all, is having a lot of money in order for a man to live a fulfilling life?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
10	10	FAMSURV2Wa_W50	In general, how important, if at all, is being married in order for a woman to live a fulfilling life?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
11	11	FAMSURV2Wb_W50	In general, how important, if at all, is being in a committed romantic relationship in order for a woman to live a fulfilling life?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
12	12	FAMSURV2Wc_W50	In general, how important, if at all, is having children in order for a woman to live a fulfilling life?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
13	13	FAMSURV2Wd_W50	In general, how important, if at all, is having a job or career they enjoy in order for a woman to live a fulfilling life?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
14	14	FAMSURV2We_W50	In general, how important, if at all, is having a lot of money in order for a woman to live a fulfilling life?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
15	15	FAMSURV3_W50	Do you think it is ever acceptable for an unmarried couple to live together?	"[""Yes, even if they don't plan to get married"", 'Yes, but only if they plan to get married', 'No, never acceptable', 'Refused']"
16	16	FAMSURV4_W50	Which statement comes closer to your view?	['Society is better off if couples who want to stay together long-term eventually get married', 'Society is just as well off if couples who want to stay together long-term decide not to marry', 'Refused']
17	17	FAMSURV5a_W50	Here are some things that people may want out of life. In general, who do you think has it easier when it comes to achieving being financially secure goals?	"['An unmarried person living with a partner has it easier', 'A married person has it easier', ""Doesn't make much difference"", 'Refused']"
18	18	FAMSURV5b_W50	Here are some things that people may want out of life. In general, who do you think has it easier when it comes to achieving having a fulfilling sex life goals?	"['An unmarried person living with a partner has it easier', 'A married person has it easier', ""Doesn't make much difference"", 'Refused']"
19	19	FAMSURV5c_W50	Here are some things that people may want out of life. In general, who do you think has it easier when it comes to achieving having social status goals?	"['An unmarried person living with a partner has it easier', 'A married person has it easier', ""Doesn't make much difference"", 'Refused']"
20	20	FAMSURV5d_W50	Here are some things that people may want out of life. In general, who do you think has it easier when it comes to achieving being happy goals?	"['An unmarried person living with a partner has it easier', 'A married person has it easier', ""Doesn't make much difference"", 'Refused']"
21	21	FAMSURV6_W50	How do you feel about allowing unmarried couples to enter into legal agreements that would give them the same rights as married couples when it comes to things like health insurance, inheritance or tax benefits?	['Strongly favor', 'Somewhat favor', 'Somewhat oppose', 'Strongly oppose', 'Refused']
22	22	FAMSURV7_W50	Compared with couples who don't live together before marriage, do you think couples who do live together before marriage have a	"['Better chance of having a successful marriage', 'Worse chance of having a successful marriage', ""Doesn't make much difference"", 'Refused']"
23	23	FAMSURV8_W50	Which statement comes closer to your view?	['Couples who are married do a better job raising children than couples who are living together but are not married', 'Couples who are living together but are not married can raise children just as well as married couples', 'Refused']
24	24	FAMSURV9a_W50	How important, if at all, do you think it is for a person to be financially stable before getting married?	['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']
