,input_ids,question,question_raw,references,mapping,top_k_logprobs
0,id_trial0_n0,"Question: How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack
","Question: How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack
A. Worry a lot
B. Worry a little
C. Do not worry at all
D. Refused
Answer:","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']","{'A': 'Worry a lot', 'B': 'Worry a little', 'C': 'Do not worry at all', 'D': 'Refused'}","{' C': -0.9241965413093567, ' A': -1.174196481704712, ' B': -1.924196481704712, ' D': -2.986696481704712, ' ?\n\n': -3.299196481704712, ' Option': -4.299196720123291, ' ?\n': -5.111696720123291, ' I': -5.924196720123291, ' ': -6.111696720123291, ' option': -6.111696720123291}"
1,id_trial0_n1,"Question: How much, if at all, do you worry about the following happening to you? Not being able to pay your bills
","Question: How much, if at all, do you worry about the following happening to you? Not being able to pay your bills
A. Worry a lot
B. Worry a little
C. Do not worry at all
D. Refused
Answer:","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']","{'A': 'Worry a lot', 'B': 'Worry a little', 'C': 'Do not worry at all', 'D': 'Refused'}","{' C': -0.7089101672172546, ' B': -1.7089102268218994, ' A': -1.7089102268218994, ' ?\n\n': -3.1464102268218994, ' D': -3.3964102268218994, ' Option': -4.20890998840332, ' Not': -5.39640998840332, ' I': -5.58390998840332, ' ?\n': -5.58390998840332, ' ': -5.89640998840332}"
2,id_trial0_n2,"Question: How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime
","Question: How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime
A. Worry a lot
B. Worry a little
C. Do not worry at all
D. Refused
Answer:","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']","{'A': 'Worry a lot', 'B': 'Worry a little', 'C': 'Do not worry at all', 'D': 'Refused'}","{' C': -0.8789146542549133, ' A': -1.1289145946502686, ' B': -2.0039145946502686, ' D': -3.3789145946502686, ' ?\n\n': -3.6914145946502686, ' Option': -4.441414833068848, ' I': -5.441414833068848, ' ?\n': -5.441414833068848, ' ': -6.003914833068848, ' option': -6.003914833068848}"
3,id_trial0_n3,"Question: How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting
","Question: How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting
A. Worry a lot
B. Worry a little
C. Do not worry at all
D. Refused
Answer:","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']","{'A': 'Worry a lot', 'B': 'Worry a little', 'C': 'Do not worry at all', 'D': 'Refused'}","{' A': -0.7512508034706116, ' C': -1.2512507438659668, ' B': -2.313750743865967, ' D': -3.063750743865967, ' ?\n\n': -3.626250743865967, ' Option': -4.563750743865967, ' I': -5.251250743865967, ' ?\n': -5.313750743865967, ' You': -5.876250743865967, ' ': -5.938750743865967}"
4,id_trial0_n4,"Question: Do you currently or have you ever owned a shotgun?
","Question: Do you currently or have you ever owned a shotgun?
A. Yes, I currently own
B. Yes, I have owned in the past but do not currently own
C. No, I have never owned
D. Refused
Answer:","['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']","{'A': 'Yes, I currently own', 'B': 'Yes, I have owned in the past but do not currently own', 'C': 'No, I have never owned', 'D': 'Refused'}","{' C': -1.002434253692627, ' B': -1.627434253692627, ' D': -1.752434253692627, ' A': -1.877434253692627, ' Option': -3.877434253692627, ' ?\n\n': -3.877434253692627, ' The': -5.377434253692627, ' ?\n': -5.377434253692627, ' option': -5.627434253692627, ' [': -5.689934253692627}"
5,id_trial0_n5,"Question: Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection
","Question: Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection
A. Major reason
B. Minor reason
C. Not a reason
D. Refused
Answer:","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","{'A': 'Major reason', 'B': 'Minor reason', 'C': 'Not a reason', 'D': 'Refused'}","{' A': -0.22762510180473328, ' B': -3.1026251316070557, ' C': -3.2276251316070557, ' D': -3.9776251316070557, ' Option': -4.102624893188477, ' ?\n\n': -4.102624893188477, ' I': -5.227624893188477, ' ?\n': -5.227624893188477, ' ': -5.352624893188477, ' Please': -5.352624893188477}"
6,id_trial0_n6,"Question: Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting
","Question: Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting
A. Major reason
B. Minor reason
C. Not a reason
D. Refused
Answer:","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","{'A': 'Major reason', 'B': 'Minor reason', 'C': 'Not a reason', 'D': 'Refused'}","{' A': -0.15412183105945587, ' C': -3.2791218757629395, ' B': -4.0291218757629395, ' Option': -4.4041218757629395, ' ?\n\n': -4.6541218757629395, ' D': -4.9666218757629395, ' Please': -5.2791218757629395, ' I': -5.4041218757629395, ' ': -5.4666218757629395, ' \n\n': -5.5916218757629395}"
7,id_trial0_n7,"Question: Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet
","Question: Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet
A. Major reason
B. Minor reason
C. Not a reason
D. Refused
Answer:","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","{'A': 'Major reason', 'B': 'Minor reason', 'C': 'Not a reason', 'D': 'Refused'}","{' A': -0.5258678793907166, ' B': -2.0258679389953613, ' C': -2.4008679389953613, ' D': -3.4008679389953613, ' ?\n\n': -3.6508679389953613, ' Please': -4.025867938995361, ' ': -4.588367938995361, ' Option': -4.650867938995361, ' \n\n': -4.713367938995361, ' I': -4.900867938995361}"
8,id_trial0_n8,"Question: Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection
","Question: Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection
A. Major reason
B. Minor reason
C. Not a reason
D. Refused
Answer:","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","{'A': 'Major reason', 'B': 'Minor reason', 'C': 'Not a reason', 'D': 'Refused'}","{' A': -0.3844660818576813, ' B': -2.2594661712646484, ' C': -2.6344661712646484, ' ?\n\n': -3.8844661712646484, ' D': -3.8844661712646484, ' Option': -4.134466171264648, ' I': -4.759466171264648, ' ': -4.884466171264648, ' ?\n': -5.009466171264648, ' Please': -5.134466171264648}"
9,id_trial0_n9,"Question: Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job
","Question: Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job
A. Major reason
B. Minor reason
C. Not a reason
D. Refused
Answer:","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","{'A': 'Major reason', 'B': 'Minor reason', 'C': 'Not a reason', 'D': 'Refused'}","{' A': -0.55247563123703, ' B': -2.177475690841675, ' C': -2.177475690841675, ' D': -3.302475690841675, ' ?\n\n': -3.677475690841675, ' Please': -4.427475452423096, ' ': -4.489975452423096, ' ?\n': -4.677475452423096, ' Option': -4.677475452423096, ' __': -4.677475452423096}"
